,locality,postcode,kitchen_has,furnished,facades_number
57635,1300,1300.0,1,0,-999
57636,8670,8670.0,1,0,-999
57637,9700,9700.0,1,0,-999
57638,1082,1082.0,1,0,-999
57639,1070,1070.0,1,0,-999
57640,1400,1400.0,1,0,-999
57641,1785,1785.0,1,0,-999
57642,1800,1800.0,1,0,-999
57643,9550,9550.0,1,0,-999
57644,1090,1090.0,1,0,-999
57645,1080,1080.0,1,0,-999
57646,1190,1190.0,1,0,-999
57647,6700,6700.0,1,0,-999
57648,1200,1200.0,1,0,-999
57649,6900,6900.0,1,0,-999
57650,8400,8400.0,1,0,-999
57651,8370,8370.0,1,0,-999
57652,1000,1000.0,1,0,-999
57653,1800,1800.0,1,0,-999
57654,8370,8370.0,1,0,-999
57655,8460,8460.0,1,0,-999
57656,1420,1420.0,1,0,-999
57657,1420,1420.0,1,0,-999
57658,1180,1180.0,0,0,-999
57659,1180,1180.0,0,0,-999
57660,1932,1932.0,1,0,-999
57661,2530,2530.0,1,0,-999
57662,1652,1652.0,1,0,-999
57663,2160,2160.0,1,0,-999
57664,1180,1180.0,1,0,-999
57665,1400,1400.0,1,0,-999
57666,7190,7190.0,1,0,-999
57667,7712,7712.0,1,0,-999
57668,1180,1180.0,1,0,-999
57669,1400,1400.0,1,0,-999
57670,1400,1400.0,1,0,-999
57671,1410,1410.0,1,0,-999
57672,1560,1560.0,1,0,-999
57673,1050,1050.0,1,0,-999
57674,1140,1140.0,1,1,-999
57675,1160,1160.0,0,1,-999
57676,8430,8430.0,1,0,-999
57677,7711,7711.0,1,0,-999
57678,1500,1500.0,1,0,-999
57679,9100,9100.0,1,0,-999
57680,1083,1083.0,1,0,-999
57681,1150,1150.0,1,0,-999
57682,1200,1200.0,1,0,-999
57683,1932,1932.0,1,0,-999
57684,1000,1000.0,1,0,-999
57685,1180,1180.0,1,0,-999
57686,1000,1000.0,1,0,-999
57687,1190,1190.0,1,0,-999
57688,1000,1000.0,1,0,-999
57689,1050,1050.0,1,0,-999
57690,1040,1040.0,1,0,-999
57691,1200,1200.0,1,0,-999
57692,1000,1000.0,1,0,-999
57693,1000,1000.0,1,0,-999
57694,1000,1000.0,1,0,-999
57695,2890,2890.0,1,0,-999
57696,1070,1070.0,1,0,-999
57697,1150,1150.0,1,0,-999
57698,1200,1200.0,1,0,-999
57699,1200,1200.0,1,0,-999
57700,8420,8420.0,1,0,-999
57701,1950,1950.0,1,0,-999
57702,1050,1050.0,1,0,-999
57703,4000,4000.0,0,0,-999
57704,1050,1050.0,1,0,-999
57705,8300,8300.0,1,0,-999
57706,1150,1150.0,1,0,-999
57707,1050,1050.0,1,0,-999
57708,1170,1170.0,1,0,-999
57709,1410,1410.0,1,0,-999
57710,1160,1160.0,1,0,-999
57711,1050,1050.0,1,0,-999
57712,1050,1050.0,1,0,-999
57713,1160,1160.0,1,0,-999
57714,1160,1160.0,1,0,-999
57715,1050,1050.0,1,0,-999
57716,1050,1050.0,1,0,-999
57717,1180,1180.0,1,0,-999
57718,1160,1160.0,1,0,-999
57719,1000,1000.0,1,0,-999
57720,1040,1040.0,1,0,-999
57721,8300,8300.0,1,0,-999
57722,8300,8300.0,1,1,-999
57723,2830,2830.0,1,0,-999
57724,9100,9100.0,0,0,-999
57725,2830,2830.0,1,0,-999
57726,2830,2830.0,1,0,-999
57727,8400,8400.0,1,0,-999
57728,1000,1000.0,1,0,-999
57729,9000,9000.0,1,0,-999
57730,1180,1180.0,1,0,-999
57731,4960,4960.0,1,1,-999
